구분,2015,2016,2017,2018,2019,2020,2021
강남구,830,1293,988,745,791,926,516
강동구,154,202,273,377,356,614,262
강북구,124,251,29,391,1078,656,470
강서구,199,168,506,259,457,356,317
관악구,609,622,688,674,595,331,236
광진구,98,52,675,465,712,175,655
구로구,268,326,540,488,434,415,533
금천구,361,133,196,539,367,513,48
노원구,514,331,175,216,320,387,221
도봉구,172,123,129,222,210,184,593
동대문구,115,804,814,201,218,223,219
동작구,128,253,271,300,322,419,20
마포구,185,478,365,373,494,299,108
서대문구,137,223,356,237,343,397,116
서초구,562,504,1041,417,339,433,556
성동구,325,255,967,415,490,472,283
성북구,322,594,890,867,714,253,404
송파구,214,176,241,541,1073,235,143
양천구,246,424,577,837,312,346,371
영등포구,209,248,311,658,65,1213,283
용산구,221,298,351,125,307,617,228
은평구,329,555,403,635,1057,288,471
종로구,150,0,261,85,9,200,0
중구,236,240,372,386,155,361,403
중랑구,132,155,153,174,1049,934,448
