인구밀도,2015,2016,2017,2018,2019,2020,2021
강남구,6851,6771,6869,6817,6769,6649,6431
강동구,13486,13494,13514,13618,13704,13517,13231
강북구,11337,11209,11179,11209,11213,11188,10852
강서구,18093,18218,18551,18771,18327,17822,17359
관악구,21987,21807,21819,21746,21507,21105,20666
광진구,26301,26050,25748,25630,25537,25114,24762
구로구,22633,22474,22318,22067,21736,21603,21188
금천구,19104,18781,18533,18218,18505,18190,17909
노원구,14172,14015,13898,13683,13462,13202,12820
도봉구,17056,16948,16752,16531,16245,15852,15465
동대문구,16317,16119,15748,15468,15162,14872,14530
동작구,16920,16696,16534,16415,16308,16292,16061
마포구,18351,18506,18440,18331,18335,18322,17908
서대문구,16706,16394,16174,16199,16180,16011,15878
서초구,28098,27681,27289,26894,26559,26301,25882
성동구,14376,14531,14679,14567,14438,14140,13986
성북구,22596,22347,21946,21793,21837,21496,20933
송파구,19675,19560,19469,19510,19341,19035,18808
양천구,17033,16583,16377,16441,16334,16595,16331
영등포구,25240,25269,24978,25032,25003,24555,24113
용산구,17891,17776,17617,17587,17496,17241,16891
은평구,9601,9610,9480,9326,9261,9132,8858
종로구,14728,14484,14203,13859,13929,13773,13616
중구,19704,19629,19813,19883,20156,19896,19599
중랑구,18842,18238,17909,17564,17909,18869,18970
