,지역,5대범죄 건수 평균,인구밀도 평균,112신고 건수 평균,여성 가구원수 평균,cctv수 평균,가로등수 평균
0,강남구,7543.571429,6736.714286,170421.4286,261914.5714,869.8571429,13837.28571
1,강동구,4163.714286,13509.14286,89579.71429,212260,319.7142857,7724.428571
2,강북구,3460.714286,11169.57143,74903.42857,154574,428.4285714,4388.285714
3,강서구,4862,18163,114848,287358.8571,323.1428571,7849.571429
4,관악구,5372.428571,21519.57143,112705,253621.8571,536.4285714,5190.142857
5,광진구,4355.857143,25591.71429,86648.57143,181476.8571,404.5714286,4857.142857
6,구로구,4726.428571,22002.71429,86006.57143,212753.4286,429.1428571,7669.285714
7,금천구,3160.857143,18462.85714,63704.28571,120722.1429,308.1428571,5243
8,노원구,4172.857143,13607.42857,89983.42857,265683.7143,309.1428571,9302.285714
9,도봉구,2214.142857,16407,54898.85714,162298.7143,233.2857143,4499
10,동대문구,3887.714286,15459.42857,28858.42857,177716.1429,370.5714286,8152.285714
11,동작구,3280.285714,16460.85714,69205.42857,199861.5714,244.7142857,5542.857143
12,마포구,4892.428571,18313.28571,107486.2857,190437.2857,328.8571429,8084.571429
13,서대문구,3051.857143,16220.28571,64242.42857,162843.1429,258.4285714,5910.142857
14,서초구,4809.428571,26957.71429,98123.57143,205641.2857,550.2857143,12161.28571
15,성동구,2656.285714,14388.14286,57321.42857,147371.1429,458.1428571,5860.714286
16,성북구,3175.571429,21849.71429,75245.14286,223697.4286,577.7142857,5478
17,송파구,5724.714286,19342.57143,127502.5714,317456.4286,374.7142857,13093.42857
18,양천구,3640.285714,16527.71429,74413.28571,219399.5714,444.7142857,7816.571429
19,영등포구,5744.857143,24884.28571,113342.1429,195884.1429,426.7142857,9287.285714
20,용산구,3441.571429,17499.85714,73440.85714,113818.5714,306.7142857,7433.571429
21,은평구,3890.428571,9324,86552.28571,233652.4286,534,6441.285714
22,종로구,3795.857143,14084.57143,74265.71429,77940.71429,100.7142857,8887.428571
23,중구,4050.142857,19811.42857,128958.7143,65017,307.5714286,8634.428571
24,중랑구,4328.142857,18328.71429,87161,193835.5714,435,5947.142857
