지역,5대범죄 건수 평균,인구밀도 평균,112신고 건수 평균,여성 가구원수 평균,cctv수 평균,가로등수 평균,경찰서 및 파출소 수,지역별인구수
강남구,7544 ,14085 ,170421 ,261915 ,870 ,8887 ,25 ,556353 
강동구,4164 ,18329 ,89580 ,212260 ,320 ,8634 ,20 ,450704 
강북구,3461 ,13607 ,74903 ,154574 ,428 ,7434 ,13 ,321125 
강서구,4862 ,14388 ,114848 ,287359 ,323 ,5861 ,16 ,596229 
관악구,5372 ,17500 ,112705 ,253622 ,536 ,4857 ,12 ,517456 
광진구,4356 ,21520 ,86649 ,181477 ,405 ,8152 ,22 ,367193 
구로구,4726 ,21850 ,86007 ,212753 ,429 ,5947 ,18 ,439610 
금천구,3161 ,19343 ,63704 ,120722 ,308 ,5478 ,26 ,251840 
노원구,4173 ,15459 ,89983 ,265684 ,309 ,4388 ,15 ,547850 
도봉구,2214 ,16407 ,54899 ,162299 ,233 ,4499 ,10 ,339109 
동작구,3280 ,24884 ,69205 ,199862 ,245 ,6441 ,22 ,406964 
마포구,4892 ,16220 ,107486 ,190437 ,329 ,5910 ,12 ,386836 
서대문구,3052 ,18313 ,64242 ,162843 ,258 ,8085 ,17 ,322695 
서초구,4809 ,9324 ,98124 ,205641 ,550 ,7817 ,17 ,438085 
성동구,2656 ,18163 ,57321 ,147371 ,458 ,7850 ,13 ,306222 
성북구,3176 ,18463 ,75245 ,223697 ,578 ,7669 ,18 ,453745 
송파구,5725 ,19811 ,127503 ,317456 ,375 ,5243 ,13 ,671105 
양천구,3640 ,26958 ,74413 ,219400 ,445 ,9287 ,16 ,469224 
영등포구,5745 ,16528 ,113342 ,195884 ,427 ,5543 ,18 ,405639 
용산구,3442 ,11170 ,73441 ,113819 ,307 ,5190 ,20 ,244237 
은평구,3890 ,16461 ,86552 ,233652 ,534 ,12161 ,21 ,489021 
종로구,3796 ,6737 ,74266 ,77941 ,101 ,13837 ,24 ,161097 
중구,4050 ,13509 ,128959 ,65017 ,308 ,13093 ,22 ,134553 
중랑구,4328 ,22003 ,87161 ,193836 ,435 ,7724 ,17 ,406956 
