지역,2015,2016,2017,2018,2019,2020,2021
강남구,8988,8988,8986,9220,9265,8818,7947
강동구,8651,8621,8641,8694,8665,8550,8619
강북구,6977,7206,7291,7248,7637,7838,7838
강서구,5299,5712,5662,5780,6050,6266,6256
관악구,4981,4925,4852,4774,4616,4908,4944
광진구,7890,8019,8096,8149,8211,8342,8359
구로구,5392,5682,5698,5729,5731,6521,6877
금천구,5301,5288,5373,5301,5584,5744,5755
노원구,4360,4440,4445,4525,4339,4301,4308
도봉구,4400,4405,4464,4471,4556,4584,4613
동대문구,8745,9267,9308,9270,9510,9443,9573
동작구,6835,6455,6554,6428,6369,6173,6275
마포구,5467,5667,5848,6075,6075,6245,5994
서대문구,7428,7645,7941,8177,8313,8392,8696
서초구,7209,7206,7198,7833,7970,8583,8717
성동구,6540,6569,6691,6682,8919,9552,9994
성북구,7365,7419,7413,7490,7529,8199,8270
송파구,4736,5354,5369,5294,5496,5507,4945
양천구,8679,9157,9209,9500,9278,9535,9653
영등포구,4641,5328,5483,5568,5656,6105,6019
용산구,4964,4897,4895,4894,5304,5588,5789
은평구,11143,11622,11699,12691,12793,12588,12593
종로구,12184,13826,14193,14193,13788,14326,14351
중구,11225,12054,12586,13263,13520,14184,14822
중랑구,7232,7411,7891,7982,7477,7952,8126
